#Table1
u,g,r,i,z,subClass
18.5345,18.59619,18.85612,19.06083,19.2135,OB
18.56296,18.74327,19.14003,19.41699,19.87591,WD
20.52719,20.11991,20.2478,20.47915,20.45527,WD
24.83725,22.4628,20.9137,18.93676,17.79571,M6
19.18572,19.32529,19.57028,19.93591,19.86936,OB
17.79591,17.70329,18.03661,18.12383,18.02359,WD
23.2786,22.40712,20.64944,18.52333,17.32914,M6
23.8449,23.08551,21.25431,18.9776,17.74728,M6
25.15138,22.5012,20.7567,18.88715,17.83144,M5
20.27894,20.1544,19.18173,18.65406,18.6604,CarbonWD
18.98591,17.74454,17.53893,17.47539,17.44965,A0
18.27468,17.20336,17.00038,16.92747,16.91386,A0
16.68712,15.55539,15.32647,15.2656,15.2713,F5
18.10775,17.07378,16.779,16.6557,16.65875,F5
17.60041,16.25314,15.69786,15.46305,15.34625,F9
18.17043,17.28385,16.99606,16.86997,16.84792,F5
24.72124,23.41181,21.36211,19.30443,18.206,M5
18.42842,17.20187,16.75126,16.58096,16.53263,G2
19.82999,19.86747,20.21706,20.46953,21.03794,OB
19.01837,19.33375,19.83534,20.15165,20.398,WD
24.43585,21.09072,20.35415,20.05169,19.93902,K3
19.21985,17.72255,17.42764,17.26384,17.18649,F9
19.24377,17.58799,16.95588,16.75,16.64438,K1
23.99757,21.21524,20.51961,20.33053,19.97416,K3
18.71535,18.39967,18.45243,18.08431,17.37174,M6
19.62417,18.38451,17.85909,17.679,17.57291,G2
23.63002,20.18812,19.31989,18.96596,18.84503,K3
17.36215,17.18044,17.45664,17.73673,18.0258,WD
17.16079,17.19791,17.35427,17.43536,17.49738,A0
19.79189,19.47171,19.67931,19.99689,20.40121,WD
23.21431,21.57261,20.70456,19.20955,18.0793,M7
25.26563,20.8581,19.86242,19.50188,19.26614,K5
22.57965,21.1284,19.88042,19.36279,19.42103,K5
19.45285,19.07708,18.98887,18.99654,19.06789,L9
17.24906,16.15416,16.09258,16.12058,16.17367,A0
19.991,18.75192,18.19888,17.9703,17.87417,F9
22.91529,20.92645,19.95625,19.8496,19.2855,K3
20.98886,18.95257,18.16656,17.85481,17.82811,K3
23.71343,23.26877,21.50348,20.36562,19.825,M1
18.69965,17.52081,17.09505,16.9284,16.8505,F9
18.35308,17.16131,16.69674,16.53168,16.50369,F9
18.49436,17.44928,17.14279,17.04058,16.98923,F5
20.62438,20.25333,20.23109,20.45311,20.27467,WD
24.42266,22.81942,21.02977,18.10891,16.40714,M8
19.47588,18.60449,18.31175,18.1742,18.1696,F5
20.11293,19.05729,19.25353,19.47923,19.52352,A0
19.29549,18.10941,17.99637,17.96863,17.94042,A0
26.16947,22.75423,21.14487,19.27951,18.32254,M6
20.72869,17.91692,16.43744,15.90733,15.61789,K7
17.18527,16.21664,15.86987,15.72444,15.69488,F5
23.28542,23.17064,21.53671,19.34225,18.1324,M6
19.02201,18.98588,19.37888,19.59725,19.89288,WD
15.11747,13.90981,13.47904,13.30176,13.26942,F9
23.39224,21.6504,20.08555,18.07003,16.94956,M6
18.05364,16.95492,16.59653,16.4664,16.444,F5
20.06397,19.5827,19.68784,19.83899,19.91279,WD
20.23718,19.0138,18.46455,18.2346,18.15427,G0
20.62792,20.12799,20.29209,20.42121,20.61475,WD
23.79592,20.69423,19.10922,17.1893,16.16084,M5
18.7864,17.58742,17.12654,16.95937,16.91575,G2
22.23835,19.9913,18.82815,18.44793,18.18727,K5
