#Table1
u,g,r,i,z,subClass
16.29742,16.76076,17.35298,17.72251,18.08125,O
19.17311,18.76322,18.73584,18.73178,18.83731,CV
25.71614,23.6542,22.17925,19.62595,18.14959,M8
18.5707,18.46066,18.77579,19.07857,19.32674,WD
18.23334,17.06101,16.58035,16.37388,16.29368,G0
18.5541,18.07395,18.06454,18.13964,18.27391,WD
18.93084,18.02126,17.63983,17.46876,17.39812,F5
19.12005,17.96084,18.02358,18.10777,18.18401,A0
17.21788,15.97536,16.19686,16.36426,16.45867,A0
20.10731,19.06582,18.99931,19.02854,19.03599,A0
21.66034,20.52565,20.46736,20.58615,20.30932,B6
20.89252,19.70558,19.7098,19.78163,19.8578,A0
23.11698,21.55083,19.99081,19.20662,18.80671,M1
18.88832,17.59455,17.06225,16.85116,16.77336,F9
20.04452,18.83978,18.6709,18.5984,18.53152,A0
20.02278,19.02645,18.86588,18.81161,18.91939,A0
18.23066,17.11651,17.03416,17.0365,17.03509,A0
22.62249,19.6733,18.27727,17.8166,17.53336,Carbon
17.79932,16.80736,16.62387,16.55797,16.44976,A0
20.15916,19.01544,18.51911,18.33618,18.2263,G2
25.12907,22.96948,21.59544,20.21371,19.46124,M4
16.45156,15.15664,15.31736,15.42417,15.51716,A0
18.84986,17.93521,17.59559,17.4538,17.44689,F5
19.25658,18.90912,19.18697,19.36405,19.67653,WD
17.75248,16.67931,16.30248,16.17483,16.13931,F2
17.96191,16.87714,16.47403,16.31975,16.28048,F5
23.97494,24.73088,22.17744,19.86189,18.23766,M7
17.29757,16.30735,15.94111,15.79886,15.74394,F5
19.22257,18.21669,17.85503,17.7213,17.70744,F2
20.06268,18.99846,18.94158,18.95176,18.98742,A0
17.15389,15.35015,14.71204,14.47325,14.34087,K1
16.63374,15.54072,15.18744,15.06259,15.03905,F5
21.55395,19.41821,18.44728,18.16663,17.97217,K3
20.16916,19.17208,18.97392,18.9048,18.97358,A0
20.21752,20.21264,20.31776,20.67721,20.62832,WD
25.44625,22.56016,20.93658,18.76847,17.50895,M7
23.88743,24.62931,22.20395,19.18879,17.64513,M8
20.4146,19.1965,18.92423,18.86078,18.78144,A0
17.76903,16.20681,15.68196,15.50932,15.46744,F9
19.97045,19.01913,18.75649,18.66792,18.60682,A0
21.29313,20.37176,20.12424,20.04926,19.90382,B6
20.79724,19.9022,19.61121,19.51463,19.51039,A0
20.45695,18.96525,18.39855,18.18861,18.10333,F9
22.46579,20.43818,18.88728,18.07374,17.60796,M0V
21.71867,20.32372,19.80591,19.65112,19.50208,F9
20.27361,18.93066,18.37415,18.14834,18.02537,F9
23.87021,21.97598,20.17813,19.36597,18.82486,M0V
20.4455,18.99754,18.37893,18.14466,17.99673,F9
20.66777,19.08015,18.53929,18.37393,18.23677,F9
20.50728,18.71074,17.97924,17.70445,17.56846,K3
21.55279,19.20313,18.02913,17.54419,17.24909,K5
20.32961,19.43102,19.15974,19.021,19.01603,A0
19.01989,17.81417,18.05356,18.21005,18.33328,A0
19.48644,18.44937,18.39059,18.45729,18.47427,A0
17.98754,16.72148,16.86088,16.99785,17.04068,A0
18.09368,17.06715,16.69138,16.51198,16.40897,F5
17.91973,16.93825,16.57499,16.41057,16.34231,F5
24.01864,21.18223,19.71674,18.61779,17.98878,M3
19.16406,18.22444,17.87836,17.78429,17.68326,F5
18.12022,16.98325,16.55705,16.39526,16.38883,G2
20.91346,18.3295,17.13261,16.7192,16.48204,K5
18.25881,17.22827,17.21161,17.26911,17.39667,A0
18.85684,17.76273,17.70854,17.78526,17.80675,A0
18.39705,17.24541,17.08412,17.07715,17.10844,A0
19.51656,18.3401,17.83715,17.61179,17.54229,G2
18.4866,18.50297,18.84833,19.15587,19.40757,WD
16.77495,15.63214,15.26266,15.12483,15.08937,F2
19.03286,17.96299,17.96008,17.99092,18.0013,A0
17.53171,16.37471,16.00239,15.8768,15.83016,G0
19.69734,18.50039,18.29902,18.21093,18.18876,F5
18.59455,17.28501,17.44077,17.58358,17.66755,A0
24.06025,21.19214,19.60446,18.40869,17.7511,M2
21.6659,19.01865,17.59934,16.76197,16.26817,M1
19.61702,18.58052,18.24251,18.09315,18.07282,F5
26.07382,22.84496,20.66179,19.53822,18.70614,M2V
19.03841,18.63464,18.63278,18.75604,18.85207,WD
21.03459,18.31877,17.02841,16.5028,16.20248,K7
21.17625,18.38923,17.24935,16.84554,16.63091,K5
19.68803,17.28001,16.23243,15.82691,15.63178,K5
19.11913,18.14417,17.82004,17.70097,17.68706,F5
20.66935,18.89796,18.22955,17.98425,17.85285,K1
18.98194,17.07672,16.25654,15.9436,15.76659,K3
20.25435,19.25287,19.06302,19.03248,19.05127,A0
18.1242,16.30088,15.65349,15.44488,15.34665,K1
17.89628,16.64495,16.52841,16.51063,16.50106,F5
18.51023,17.31599,17.35955,17.4543,17.57734,A0
17.86203,16.71789,16.77201,16.85864,16.9627,A0
17.6085,16.24844,15.64792,15.38239,15.23707,F2
19.96374,17.4637,16.20705,15.66357,15.35701,K7
17.40427,16.19959,15.77874,15.61586,15.56328,G2
20.04873,18.93961,19.10886,19.2636,19.37869,A0
18.18717,17.00465,16.48677,16.27565,16.16892,G2
20.1213,19.03625,18.96438,19.0089,19.11795,A0
20.2029,19.00685,19.01415,19.08569,19.05979,A0
18.89058,17.63448,17.80538,17.93914,18.02947,A0
23.39475,24.12733,22.10788,19.76831,18.34145,M7
17.47448,16.31458,15.90189,15.74428,15.70066,G2
19.46752,16.76382,15.33176,14.52126,14.04449,M0
18.61185,18.11552,18.17992,17.69347,17.1491,WD
21.05165,18.44969,17.219,16.77226,16.46911,K5
18.64607,17.78714,17.52763,17.43009,17.42604,A0
24.39187,20.86592,19.30215,17.4964,16.52772,M5
19.64766,18.67675,18.55528,18.55363,18.60906,A0
19.70333,17.88873,17.1434,16.82542,16.65899,K3
19.11634,17.62148,17.05464,16.83174,16.72701,F9
19.17637,17.98099,17.77407,17.67802,17.65269,A0
19.151,17.45303,16.78522,16.56231,16.45795,K1
17.17881,15.56593,14.90381,14.66557,14.54323,F9
18.91458,17.97609,17.69784,17.55495,17.49273,F5
20.7473,18.3978,17.21734,16.72791,16.43789,K7
18.56268,17.14623,16.5559,16.29699,16.157,G2
16.23113,15.20485,14.95443,14.8674,14.86301,F5
16.45379,15.02962,14.56318,14.40143,14.359,F9
17.73398,16.84657,16.57527,16.48237,16.4738,F5
20.89258,20.44757,20.53526,20.85809,21.26601,WD
18.20489,17.12961,16.79656,16.62952,16.57625,F5
18.45709,17.05875,16.56312,16.35972,16.28534,F9
18.6081,17.53957,17.09688,16.90593,16.82062,F5
18.19064,17.08911,17.11589,17.1635,17.23279,A0
20.71588,19.44163,19.17242,19.06989,19.02498,F5
23.38941,21.48427,20.03763,19.68966,18.89697,M0
23.94129,21.24413,20.0866,19.61425,19.30432,K5
19.20539,18.24311,18.00934,17.90706,17.91481,A0
17.75791,16.50201,16.05242,15.86797,15.77332,F9
19.81684,18.88592,18.69274,18.58949,18.63106,A0
18.53829,17.55103,17.06516,16.85526,16.74448,F5
21.12642,18.33941,16.85692,16.07872,15.64536,M1
21.08226,20.15043,20.46711,20.58211,20.60518,A0p
19.49682,18.58812,18.28858,18.15737,18.08125,A0
18.08432,16.62874,16.10151,15.92154,15.83913,F9
19.34946,17.81902,17.05968,16.72459,16.54547,F9
21.50302,19.31906,18.33948,17.94548,17.71268,K5
17.23204,15.9748,15.97176,15.99274,16.02467,A0
17.89905,16.98527,16.67772,16.57214,16.53663,F5
23.24935,22.64069,21.612,19.26918,17.81104,M7
18.98122,17.79334,17.74025,17.74687,17.80063,A0
17.077,15.88744,16.03941,16.16242,16.23534,A0
24.37927,23.55061,22.11945,19.26558,17.65268,M8
18.43888,17.49737,17.08329,16.89635,16.82376,F5
